,FullInfo Time,Duplex,EndofSet Time,EosVal,Eos - Full,IDInfo Time,IDInfo_ID,Exit Time,Delivered Time,Target Bin,EXIT ID,Fault,Error Code,ID - Eos,Eos >> ID,Exit - ID,Del - Exit,Pass / Fail
187,6253956,0,6253966,1295,10,6255426,94,1971546.0,5724436.0,1,126.0,1817236.0,0,1460,1,7320.0,2770.0,0
129,5815026,1,5815046,1304,20,5817996,55,5825296,5828066,2,143,1817236.0,0,2950,1,7300,2770,1
37,799356,1,799376,220,20,800606,17,808186,810956,2,43,1817236.0,0,1230,1,7580,2770,1
157,6039246,1,6039266,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
183,6229296,1,6229306,1294,10,6232256,91,6239566,6242336,2,215,1817236.0,0,2950,1,7310,2770,1
1,346216,0,346226,220,10,347696,1,350176,5724436.0,1,126.0,1817236.0,0,1470,1,2480,2770.0,0
52,934506,0,934526,1327,20,937126,27,940296,5724436.0,1,126.0,1817236.0,0,2600,1,3170,2770.0,0
149,5973606,1,5973626,220,20,5974856,68,5982446,5985206,2,170,1817236.0,0,1230,1,7590,2760,1
130,5835426,1,5835436,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
151,5994306,1,5994326,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
103,2128426,0,2128436,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
99,1941626,0,1941646,1294,20,1943096,44,1971546.0,5724436.0,1,126.0,1817236.0,0,1450,1,7320.0,2770.0,0
116,5712826,1,5712836,220,10,5714086,46,5721676,5724436,2,126,1817236.0,0,1250,1,7590,2760,1
87,1808866,0,1808886,220,20,1812136,42,1814626,5724436.0,1,126.0,1817236.0,0,3250,1,2490,2770.0,0
74,1209256,0,1209276,1327,20,1211816,39,1213756,5724436.0,1,126.0,1817236.0,0,2540,1,1940,2770.0,0
121,5765946,1,5765966,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
194,6356696,0,6356716,1294,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
20,661526,1,661546,1304,20,664496,6,671816,674596,2,20,1817236.0,0,2950,1,7320,2780,1
188,6255456,0,6255476,1294,20,6256926,95,1971546.0,5724436.0,1,126.0,2136636,703,1450,1,7320.0,2770.0,0
71,1164526,1,1164546,220,20,1165806,37,1173386,1176156,2,86,1817236.0,0,1260,1,7580,2770,1
106,2133076,0,2133096,1294,20,2134546,44,1971546.0,5724436.0,1,126.0,1817236.0,0,1450,1,7320.0,2770.0,0
14,612416,1,612436,1295,20,615376,2,622706,625476,2,12,1817236.0,0,2940,1,7330,2770,1
92,1856416,0,1856436,220,20,1859686,42,1862186,5724436.0,1,126.0,1817236.0,0,3250,1,2500,2770.0,0
179,6205056,1,6205076,220,20,6206346,88,6213926,6216696,2,210,1817236.0,0,1270,1,7580,2770,1
102,1993266,0,1993286,220,20,1996536,42,1999016,5724436.0,1,126.0,1817236.0,0,3250,1,2480,2770.0,0
